text,cluster_id
Never again will I sign up for @115821 @117795 you are horrendous why did I spend 2 hours while on vacation 🖕🏾for late packages after paying extra fees,1
How do I cancel order? No option to cancel https://t.co/mZpCRHInwU,6
really? https://t.co/B1DpvjMXwI,5
"receieved Fifa18 Nintendo switch,box was shrink wrapped and not official wrapping.why?bit dubious about being official product",9
What's the purpose of pre-ordering an item more than a month before release when I still don't have it in my possession more than a week after release date? #WhereIsMyTamagotchi,4
how long does it take for an order cancellation to process?,6
are your emails down ordered a few things earlier today and not receive any emails.,6
hello please help me my package was suppose to be here by 8pm PST and i had gotten a notification saying “4:02 PMDelivery Delay” at around 2pm which doesnt make any sense,4
I’ve had no email since this one and still don’t have my parcel. Aren’t amazon supposed to be good with deliveries? It’s just a book- can’t you just put it through the letter box? 😒 https://t.co/6Pw8LAvRLD,7
Shout out to Prime Now,8
"The ""Choose Delivery Slot"" of @115830 order page is not working, I get a JavaScript error.

Sigh.",1
Hey @115821 @AmazonHelp could you stop delivering packages to us that belong to people who live several blocks away on a different street??? They clog up our entryway.,7
kindly check with the vendor and the customer who may be new like me and purchase the guitar for learning but they cant,3
Hey.. I have cancelled my product and I want my refund. I didn't received the product yet and you are asking me to send it back1/2,6
"Today, an item missed the delivery date in the confirmation email.",4
Am I no longer able to access the @144771 with an @117795 subscription?,10
how can I return a gift card?,3
When the @115821 #locker holds your package hostage 8 hours after it’s guaranteed delivery time. 👎🏼 https://t.co/obzOxVD2s7,2
crazy amount of packaging for these tiny charms don’t you think? 😂 https://t.co/nlLsPK7MA5,9
Nothing says discretely delivering your #Amazon package like the @118706 leaving it in front of the garage next to the street when the porch was 15 steps away. https://t.co/JmGWSSVVxf,7
Do I need cable and prime to use @116439?,8
Why does an echo dot that was shipped on 30-Oct (Monday) from Maharashtra show that it will take until Saturday to reach Chennai?!,4
"Lightening speed of services.Keep it up, https://t.co/0fJloQdpv3 make customers happy.😃😁",5
Why lie if you cannot deliver package on time? I never requested for delay delivery. Infact I'm a Prime member and need this delivery on urgent basis! https://t.co/g05dDJt9Ib,4
"Hi @115850 I got an email with the subject ""Congratulations! You're the Lucky Winner of Amazon Great Indian Festival 2017"" today but the email was blank. What is this about? https://t.co/8GCTQxa9WL",0
"Hello I pre ordered sims 4 but have not received the free DLC as promised, how do I go about this please",4
"I have ordered a “antique jewellery” with order#408-8716503-8522740, order date# 29/Aug/17 and it has been delivered. Since I did not anticipate that to be in such design I have returned it back on the next day itself but refund has not reached my a/c. Pls consider.",6
I had a very bad experience with your customer rep. I was not able to deny delivery of the phone because it was given to the mail room without my consent. ORDER # 406-1171704-9492339,6
"Hi, i had a delivery out for delivery yesterday but it never arrived, now ive no idea when to expect it. Can you assist?",4
Had every intention of shopping during my morning commute but @115830 app appears to be broke #canttuesday,1
"@115851 will resolution will be given or not!!
Only fake hopes are given yet",1
"Not happy Amazon! My son's car seat should have been delivered yesterday on Prime, nope and still non the wiser where it is after speaking to your support!! I need this car seat today, we pay a lot of money for Prime so I expect to get my items on time!! https://t.co/PU0CKyOx5I",7
"Is amazon flex in Barcelona, Spain?? @AmazonHelp @115821 @115830",0
Hey @115821 my packag was just delivered like this. What the heck. https://t.co/5FFxUk9UiO,9
Great service but massive waste of packaging. Surely we can be more sustainable please? https://t.co/bV1dIh89ZZ,9
"Just signed up for Amazon Prime, now I'm just finding random ish to buy 🙄",8
"Oh @115830 are you trying to get me into trouble by not delivering my parcel?! Please, I need it! Now! Today!!!",2
"hi, could you help me to change a delivery address, the website states that it’s too late? Can you do something on your end ? It’s kinda urgent as it’s for tomorrow and I don’t want to lose my package",2
"When you pay for @115830 Prime and an attempt was supposedly made to deliver when you were in, but it obviously wasn't 😬 https://t.co/riphN5fg4M",8
do i need a business license too start selling on your site,5
"I HAVE BEEN A MEMBER FOR YEARS, BUTT IF MY MONEY IS NOT BACK ON MY ACCOUNT TODAY, I WILL GO TO ANY LENGTH TO MAKE YOU WISH YOU HAD. I'M DO DONE WITH YOU. I'M SO MAD RIGHT NOW I'M SHAKING. ANF YOU HAVE ALL THESE FOREIGN PEOPLE WHO DON'T HAVE ACCESS TO INFO AND WON'T ESCALATE?",6
"Up to 2 weeks, which means you can go faster. Get off your billion dollar corporate butts &amp; give me my refund!",5
"Dear @115821 Why is something that is shipping today going to take 2 months to get to me? Seriously...I'm in Canada, not Siberia.",4
this is what you sent a 1.4cm wide curtain pole in. Don't you have an ecological policy?! You can pay the postage if I have to return. This is a shameful waste! https://t.co/0MfcRPXmxo,9
"Ordered a gift card from @115821 and the @122232 driver posts it through the door, package clearly had been opened and gift card stolen?! 😡",2
"just lost my @115821 package and @UPSHelp says: ""Just call @AmazonHelp and they'll replace it."" Dude you all lost it not Amazon.",0
"My order NOT delivrd, bt order history sys delivered. Is it common fr ur courier service to mark delivered when NOT actually done? https://t.co/hW1ne9rNYz",2
Soo... @115821 prime is a total scam now? One-day delivery doesn't seem to happen ever anymore.,8
C'mon Amazon!!!!! Seriously? The item on the left arrived in the box on the right. WTF!? #WASTE #WhatAboutTheEnvironment https://t.co/5aQm7TVovK,7
"Please provide a list of winnner for all quiz competition.

We want to know the winners details",5
"hi, can I use my Vancity member card (debit) with you. I just got an mail saying you weren’t able to process my card.",3
don't ask me if I'm happy with the resolution if I wasn't offered a real resolution. 2 missed deliveries in 3 days when I was home.,4
please explain to me when this wasn’t even packaged?? It’s a present and the tape that was put on there didn’t even work and the box was completely open. P.s how do you expect me to take the sticker off ?? I’m lucky that none of them are broken ! https://t.co/JOiVjEI3Vf,9
Unexpected from Amazon. Since it's inception @115850 . I never trusted other but U. But this piracy is not acceptable. Plz do smthng. https://t.co/fg4OkaOGSR,0
not very happy with my Pantry order. First time Amazon disappointed me with something.,7
Hey @115850 . I ordered a smartphone recently which turns out to be defective. I was travelling so could check only now that it faulty. I tried return but it got closed yesterday. I need some immediate assistance in this matter.,1
I keep going in circles on your site. Is there an email address I can send general feedback to?,6
Sure just change the date after it was meant to be delivered.  This why I have prime 😠 @115830 https://t.co/pmvC0RKQWw,8
"Thanks for my eye drops, @115821 ! Don't worry the stuff inside is ""ok."" Might I suggest not shipping tiny collapsible boxes with cases of coconut water inside a bigger box!! ;-D https://t.co/vQy7JtDjUQ",9
"Hi, I got a notification about an hour ago saying my package had been delivered and on my account it says it was handed to me but it wasn’t?",4
can you help me out with some questions I have about echo plus. Can you DM me please.,10
"Hi, there! Having five items delivered to my office today. However, we close in one hour, and none of the packages have been delivered. I need to have them today before I leave. Any possible next steps?",4
"""Alexa, set volume to 10 after 10 minutes"". doesn't work, and its very required usecase. Or separate volume for alarms.",10
"@132994  hi team,
I tried to purchase oneplus 5 with exchange. But now it is disabled for my location help me with this. https://t.co/sX3ZGlrYs5",10
"Oh no! My @115821 order of Halloween Candy will arrive tomorrow, a week early. I'm in trouble. 

Sorry neighbor kids!",4
What amazon prime subscription means when products marked with prime label also get delivered in 4-5 days? @115850 #wasteofmoney,8
trying to be slick and charge me for overnight fee even though they didn’t deliver the goods. Step back!,2
thank you @115821 for putting a charge on hold without telling me and over drawing my bank account 🙄,1
Hey @115821 whoever came up with advertising on your boxes should get a major raise. #brillantmarketing https://t.co/iPkHFcj6f7,5
When you order 2 boxes of berry @89497 from @115821 and they send you citrus instead. I just hope I like it,1
r u thinking us fool.I am waiting for my order from 15 days and still waiting for ur answer...,4
"Hi @120474. How come it says there’s tickets available in 4 different seating blocks, and then when I go to buy them it keeps coming up with this? Why doesn’t it just say there’s none available? https://t.co/2oVY8Ytr01",1
My order says it will arrive between Nov 25 and Nov 27 (delivery to Poland from https://t.co/XSrI3F8tSg) but it's a weekend. Can your packages be delivered on weekends?,4
the delivery driver left my order outside in the rain and it is ruined. I want refund and a replacements for this inconvenience.,2
adding money on amazon pay is very slow,3
is best in all...But in a matter of refund it's very slow...Can't expect from u..My 2 refund r pending...From u,6
"Seriously @115821?! You’re going to deliver this box to my house at the holidays?! Come on, man! https://t.co/EZ8weN6o9q",1
"@118919 When will be ""Voice Profiles"" supported in India for Amazon Alexa devices?",10
. @115821 -- I'm glad drivers deliver to my porch. But can u tell 'em not to put heavy boxes right in front of the storm door. #cantopendoor,2
"Hey @115821 
Aren’t your delivery services you retain offering up what we paid for to take?
They couldn’t walk another 20 feet to the front door?
Let alone, knock on it?
WTH? https://t.co/gkRAUNi28X",2
"hi there is a problem with the signing in of my account,I am trying to add my mobile no. But it says it's already in use",10
unable to load balance in amazon pay inspite of successful proceedings. Money isnt debitd frm account neithr creditd 2 Amazonpay,0
I have a amazon prime membership that of course has my name on it is there any way to change that to my name and my sisters?,3
FINALMENTE @117086 !!!!! https://t.co/zm9N5z95Bh,1
Was the Alexa app deactivated in @38880 by @115821. I know I had it on my phone a while back.,10
"Pre-ordered a game on Amazon, accidentally signed up for Prime. Sure.",8
I’m really disappointed with my delivery I ordered my mums Christmas present and it wasn’t even in a box which means my mums seen what she got😡,2
dear @115850 when will you launch great amazon pantry service in Lucknow.,0
"Ugh. Just got home, my 15 year-old son tells me that someone stole $150+ that was in his Amazon account.",0
@AmazonHelp the fact that one of your packing staff or a few have stolen from customers is not a concern no? More to the point you have mislead @142696 fans who have had the contents of their dvd parcels changed for their profit?!Not on! Devastated 9 year old is not fun,7
Preordered my #xboxonex on @115821 Does anyone know if it will arrive on release day or ship on release day and arrive 1-2 days later?,4
"theres an item i want to pre order that releases tomorrow, but the estimated deliverys saying that its going to be a day after?",4
"is full of shite, Sumit told me that my order will be delivered today, now some Odwa doll is saying it won't be dispatched until tomorrow. #PokemonUltraSun #Pokemon #FuckYouIndia https://t.co/Bc1BQSZnxr",4
STILL waiting on my @115830 order of the @342993 book... I pre-ordered the damn thing. I can't believe I've been waiting this long 😡😡 https://t.co/3WhPwpMnCf,4
"When pre-ordering a PC game (Battlefront 2) - is the code delivered digitally, or do I need to wait for a physical package with the code in it?",4
I️ have yet to receive my package that I️ paid extra shipping for due today,4
"Name the subject matter jurisdiction over activity;economic&amp;other, conducted on the internet.Substantial portions of internet activity are subject2traditional regulation,&amp;that conduct that is unlawful off-line is presumptively unlawful online,similar laws&amp;regulations https://t.co/UDdCvaIlOy",5
I need some help with internet marketing. I have a YouTube channel I can market prouducts for Amazon and other thi… https://t.co/wvXawSt9Od,5
Will there be any exchange offer for OnePlus 5T with the OnePlus 5?,3
"@AmazonHelp 
On 10/30/17 I made a purchase with guaranteed prime shipping for 11/1/17, it has not arrived yet.",8
"what part of cancel order don't you understand? , bloody useless .",6
Hey @115821 and @115817: you two sent me a push notification my package was delivered. I ran outside in thirty seconds. Where's my stuff?,2
u r surely keeping d indian punctuality by sending orders at such a pace that even buying it by travelling myself makes more sense,4
Worst experience. My order got canceled after 20 days of delay without notifying me. @115850,6
"ordered a Redmi4 for my mother's bday tmr, but in haste forgot the gift wrapping :(
Pls add the gift-wrap, will pay extra  🙏",9
Already waited for 6 days and now amazon says it will take 1 more day of expected. Vry bad delivery while flipkart deliver product in max 4 days.. it shows wrongly unable to contact. Boy denied to deliver today to me when I called @115850 @118702,7
ordered a coat a week ago still not arrived excuses from your customer services due to Logistics. What's the point of my Prime?,8
MY AMAZON PACKAGE IS SHIPPING TO MY OLD HOUSE AND IM GONNA DIE IM REALLY SO MAD AGH WHAT AM I SUPPOSED TO DO NOW,7
"Ordered on March 23, 2016  Order# 116-4081823-9779459 already been through this exasperating exercise with cust service. other VOYAGE owners have expressed the exact same flaw. what about an even exchange for Oasis? @115851",1
literally WHERE THE FUCK is my dog hoodie @115821 !!!!!!!!,1
Why pay for prime when two day delivery is a lie? I select free two day delivery get the item four or more days later....,8
"is really testing my patience. I ordered 5 books on the 10th &amp; they were supposed to be delivered on the 16th, then it tells me there’s a delay so it says to wait until the 18th, it’s the 19th now &amp; i still don’t have my packages. 👿",4
"Never had @115821 fail me before BUT they lost an entire order on me this wk. Part was marked delivered - but I never got, other part went MIA. Found out when I checked the status #notcool #trustissues",1
Thanks for throwing my parcel over the side gate without asking me first @17157 https://t.co/nHHfHqVNKl,2
"Hi @115850, I got this product damaged and open, so went to return it but it isn't eligible for return. Can you help? https://t.co/WixxKWep9l",6
"every time @115821 delivers a package there’s a problem. just use @115817 or @81, y’all suck",1
Hi @115833 @AmazonHelp I keep seeing this error in my Alexa app - is it a sign voice recognition is coming to the UK??!! https://t.co/EuCLSd0P4k,10
another delivery thrown over the fence! Customer services fail to sort it out! Who shall I ring next? Any ideas! Maybe @115851 could help!? Would he be happy with a £5 apology for two hours on the phone! Unlikely!,2
Really? @115821 #overpackingmuch https://t.co/Y3YGIZGTw5,9
"I don't appreciate your Amazon Logistics delivery driver throwing my parcel (which contained  a China mug) over my garden fence, where it just so happened to land in animal poo, and writing on the note saying it was in a secure place.",7
"How On Earth is this possible. 
Pls rectify n explain https://t.co/DURjI3kuRW",5
what's the point? #waste #Sustainability #environment #dontcare #GlobalWarming #stupid #targets #fail #failure #treekillers https://t.co/zR4kjqkPrU,5
I have never once had an @115821 order of any physical item go without incident. My latest order is now delayed. Terrible experience nearly every time.,1
"bad service by amazon, no order cancellation, no customer care response",0
"Why was my preorder for  #ArcanumUnbounded canceled without giving any explanation? Why was my #Oathbringer preorder canceled without explanation? 
ArcanumUnbounded was at 330 Rs on your diwali sale. I want the book at that price again. Thanks. https://t.co/BDGsEdQ37d",6
"@AmazonHelp Do you know the difference between ""Return"" &amp; ""Replace"" #RealAmazonStoriess #MakeConsumerFool",0
Team @115850  my return order picked up on 31st but no update of refund after 11 Days..,1
"@121284 @115833 @115850 When is drop in feature going to be available for India? I have echo dot and echo plus, cannot drop in to each other.",10
I pre ordered the new Transformers DVD which should of arrived 2day.. but it hasn’t arrived?! What’s the point in pre ordering?! 😡😡,4
"I created a twitter account today just to tell you that your AMZL ""in-house"" shipping is the absolute worst.  They constantly lose packages and try to deliver to my place of business at 9pm when no one is here.  for the love of god, stick to UPS, FEDEX, USPS",2
So I ordered something on Wednesday at @115821 and it won’t get here ‘til Monday.. so much for having Prime.,8
"I’m a prime member, I placed order 
204-3824623-4557900 last Thursday and it still hasn’t turned up. Should have been next day. Can you let me know what’s going on, please.",8
"This is how @115821 delivers, I mean throws, your packages. Additionally, I was home at the time - the driver never even knocked or rang the doorbell.  Really, #Amazon thinks people will give their drivers access to the INSIDE of their homes? #AmazonPrime https://t.co/W8uL15ySCa",7
"Dear @115850, @AmazonHelp, @164902 I had ordered @164902 C300SI On-Ear Dynamic Wired Headphones yesterday in the evening around 4PM and I got it delivered at 1:15 PM today. Awesomeeeee bass😍😍😍 #LovedIt
Such a fast delivery even for Non-prime users",7
once again cheated by @115821 @115850 408-9587619-9781162.item nt delivered widout reason.Do we really afford this?Is it a monopoly?,1
"Oh hey @117795 thank you so much for guaranteeing delivery by tomorrow, telling me it would be delivered today...and now saying Sat.",1
"I received a $15 promotional credit for purchasing gift cards, but I cannot figure out how to apply it. I received an email confirming this, but when I click the link to learn more about it, I am directed to the below screen. Can I get some help with this? https://t.co/rtSc1TCml3",3
uhh i paid for express delivery on this case and it’s now the 6th nov. and i haven’t got it yet 🤔 https://t.co/9CqLWazHcb,4
Why are all of the kindle oasis 9th edition 2017 covers no longer available @115830 @AmazonHelp,10
"Hey, can i use https://t.co/7tLOQL6UI1 to pay for amazon prime? Cant seem to get the option to show up.  i can use it for orders",3
"Dear @AmazonHelp @115850 
I have the prime membership from May 2017.
But I'm getting mails that it's already complete.
What should I do. https://t.co/7Iiwd1PVNR",8
dart courier customer service it is not picked up till date. Please let me know when you are going to pick it up. https://t.co/Oo9Ok7jbH2,6
Order status shows delivered bt havnt rcvd.CS says technical glitch but other says need to verify with courier. CS sucks! Help!,4
Hey @amazonhelp ! Got great security cam vid of your delivery driver pulling into drive and THROWING package. Not even close 2 door. Really?,7
"Hello @115821, @573838 and @112851 WHY DO YOU SAY PACKAGE OUT FOR DELIVERY BUT THEN NOTHING IN MY MAIL BOX??????",2
Being driven absolutely nuts by @115830 for a simple request. Coming up to 10 weeks and still no resolve.,1
"I am really fed up with your services. Neither I got any solution regarding this case nor my payment you have processed while its have been almost 20 days after return of product.
@108212 @120320 @AmazonHelp @2517",0
"can you start scam? Without delivery product says deli handy to cust. Yur employ dont have any courier record.Trackid
186111300779",2
Damn those peas though @115850 @1384 @AmazonHelp https://t.co/xOZi769xVG,0
yo @117795 did y'all raise the roof (prices) for minimum orders/add a delivery fee? so there's a delivery fee and a tip now?,1
ur return page in app says please return the item through a carrier who has package tracking facility. It says EMS speed post is a preferred service. But I don’t know why @115850 do not use EMS Speed Post for delivering the items. 1/n,2
whats going wrong w/ customer service? 10 chats without any + result. Orders late. Products stock out. No one carries? neither jeff?,6
"Good going with the four boxes. Two boxes had ONE item each. What am I supposed to do with this crap, care to say ? Landfill? #GoGreen https://t.co/ZnfrQvMpYZ",9
"is this product sold as a Pack of 25, or Pack of 10. Info is contradicting. https://t.co/fuWUxpXbWH",9
why isn't my cancelled order not showing up in my orders or cancelled orders section?,6
Two day shipping isn’t really 2 days if estimated delivery is by 8 pm on day 3 @115821,4
#amzl_us delivery people lied (again) about attempting delivery. They've lied about making deliveries in the past. @115821 sucks lately :-( https://t.co/CEQdtcrThI,2
"This @115821 screenshot is surprising. Not because the delivery is late, but because it’s the first time they haven’t tried to gloss over the fact they dropped the ball.

Basically, there’s nothing guaranteed about Amazon’s deliveries, and there hasn’t been for a long time. https://t.co/QZ3z5HFWpi",7
I hope everyone is enjoying their @115786 #OneX.  I am still waiting for @115821 to actually deliver mine. So glad I pay for this service. https://t.co/V3cCPM2eNv,1
So someone’s amazon mail got shipped to me and I opened it and it turned out to be 2 cages for BDSM LMFAO,7
i got a package delivered to the amazon locker near me and it's there but I never got the code so I can't get it out help pls 🙃,7
what are the headlines that play on show? It’s some of the most irrelevant content imaginable. Can we cust,5
Just got an email for an Amazon Video purchase I didn't make. Glitch or am I hacked?,3
Weird having an intercom in my house but this is so awesome!! #Alexa is awesome!!! Thanks @115821 for making my smart home affordable 😊✌🤙,10
hi I paid next day delivery for an item on Friday and still haven't received my item,4
does @122232 get a bonus for delivering on time or even a penalty for late delivery. They seem to be updating their delivery systems on behalf of customers without any contact from said customer,2
"@AmazonHelp package not delivered even after outdelivery, goof up from your side. Horrible pathetic experience​ twice in a row !!!",7
-- Thanks for selling me a Whole Foods gift card that doesn't work to purchase groceries at Whole Foods ...,3
"It's unbelievable that the Amazon Prime Student program last 4 years and you can't cancel it.

I'm now apart of Amazon Household and can't use my sister's Prime benefits because I have to wait until 2019 for it to expire... Wtf. 😤

Fuck @115821. I'll take my money elsewhere.",8
"so despite having two day shipping on my order, I've come to find out that I may not get my package u til Wednesday despite the fact I was supposed to have it Sunday, and the USPS distributer it went to is a Half hour north of my twinsburg address.  What's going on?",4
How much more of an effort wouldn’t have taken to put he packages out of sight. #Laziness https://t.co/CymWlNWdDd,9
: why address verification team doesn't read the email just sending auto mails without understanding the problem.i failed to convince them  wife can use her husband card for payment.,6
The last 50 pages of my signed copy of @127390's Turtles All the Way Down from @115821 are like...glued together? I don't even know... :( Did anyone else have this problem?,9
i preordered a book months ago and it should've arrived 3 days ago. Any advice?,4
Why was I hung up on during a customer service call because I declined to accept your Representative's offer of $20 dollar credit. Is this a new customer retention tactic? #disrespected #amazonprimemember #dissapointed,0
"Hey @115821, this is why you choose to ship with someone other than @115817. They drove passed my house to deliver to a facility, and then didn't deliver at all yesterday. @AmazonHelp @UPSHelp https://t.co/Ky5wQqQkco",7
looks like my #XboxOneX is getting delayed. Advised we're behind in orders so yours will be late..  But we will try to rush it. https://t.co/VyiZCnuWJa,4
"Hey @116316 can you please tell me where my package is? its a WEEK late and according to the tracking thing it hasn't changed location for 6 days. I need it for this Friday, help please? Thanks :) #amazon #late #help #givememyshoes",7
"dear amazon, is the McBook Air 2017 ( cost - 56000) available through the Bajaj EMilI card?",3
"@AmazonHelp I ordered a TV from you 26 October, it didn’t arrive and I still haven’t had my money back or any compensation to make up for this? Now for the last month I have had no working TV and I’m £300 down 😑",7
Why @115821 so much packaging. 1 easel x1 box. When all 11 would fit in one. #Packaging #WasteReductionWeek https://t.co/QZPFU9jzGM,9
hi if I give you my order number can you find out why I have not received I item?,6
I m ur customer totally frustrated with the responses...I had received From ur customer service..I need a Help so help me,6
"I just ordered a kindle version of something by accident, I don’t even have a kindle! Please help! How can I get my money back?",3
@57247 @AmazonHelp  requesting a return for product since 28 October but it is not being picked up... And Now they @115850 not responding.... It's matter of 33000,0
Just got my hands on these two of the #RamChandra series thanks to @115850. Waiting eagerly to kick off ASAP :-D https://t.co/nO9Tf5Kji1,5
Fed up with the services of you,6
what has happened to the days when #prime meant next day?,8
"Ordered anti pollution breathing masks for my child from @115850 got this instead - @115851, is Amazon suggesting a long term approach to the pollution problem in Gurgaon ? Now they won't refund since its non returnable. Really disappointed with the @115850 https://t.co/XUFpIyn5v8",0
"I have a Fire TV Stick but the remote has stopped working completely. I've replaced the batteries, removed the remote and re-added it on the Stick but still no luck. How can I get this repaired?",10
In the Fire TV 4k stick not available in Canada? Can't find it on @116090,10
"4) block my account and send you info u dont need. I gave u the needed info, name, #, cvc, expiry date, u have no right to ask m",6
"hello, I need to complain I bought from an Amazon Seller but can’t find how to message them directly?",0
"You have conducted 'n' number of contests thru App, but no results yet, if you cant declare winners, y conduct contest",10
"@AmazonHelp  Guess what. 

Bug on your flagship Amazon Exclusive product too... What a bizzare !! https://t.co/nbGg6exwJu",0
...waiting until the last minute to ship? #YouHave4Minutes https://t.co/yWnSONaX03,4
how my stuff going to arrive here by 8 if it hasn't even shipped yet?!?!?! https://t.co/aovtnyHWaN,4
Hi @AmazonHelp I need to return a package. It wasnt sent in a box. Am I ok sticking the return label on the packaging?,7
Ordered #MacBook from @115821 they cancelled order but charge still on my card. After a month no laptop no refund. “Nothing they can do” wtf,6
@9561 The ticket button isn’t active for any of the dates🙃,1
my boyfriend ordered a chisel that was said to have been delivered at our home already a few days ago. We searched all over our porch and front yard and we havent found anything. We've been ordering alot for gifts and so far its the only one that was delivered,2
please can you explain to me why you don't seem to be able to deliver my parcels anymore,2
Explain to me why I have Prime but still have to wait a week for a package to not show up before given the option of “replace or refund”? Like duh I still want my order but I should have had it after two days not two weeks— why else do I pay for prime...?,8
Can you tell me where the extra £1 I've been charged comes from please? https://t.co/Oa9sJB7SQ8,3
"hi. My order was cancelled without any discussion, and refund was processed without discussion or reason. Wondering what happened there ?",6
Hey @AmazonHelp @115821 I️ don’t like it when you deliver my packages. it says business is closed. meanwhile the business is open until 6pm https://t.co/kDaBk6J4aL,7
prime order was expected between 6-8pm but not arrived as yet and not had any update to say delayed - please can you help? I can’t track it either?,8
"there was an item missing from my package, and you're making me wait 72 hours to for it to be 'investigated'.  This is unacceptable.",4
How to get free Amazon echo dot?@115850 @115821 @115833,10
"Shoddy service now from @115830 
already cancelled @232617. But Prime Now orders are also undelivered. No Next Day deliveries from normal Prime at the weekend anymore. Delivery charges up. They should stick to books.",8
"""Package handed to resident"" - uhhh @116090 my wife and I aren't home... did you hand it to our dog?",2
What the hell @115821 why is this coming up when I try to set up my daughters profile on her amazon fire 😂😂😂😂 https://t.co/2h6cskqMie,10
"@115850 @115851 
I not received product , orderd 20 days back, delivery date was 31 oct.
No action taken on delivery agency",1
"I Just set up an account. if I put in an address, will anything other than my order be mailed to me?",3
Every other courier company can follow my simple request when ordering from @115830 . Except @115830 logistics… (I don't have a rear porch) 🙄 https://t.co/ZiDfvyjAxK,2
The winner of the most unnecessary packaging award goes to @115830... All of this for a clothes rail 🤔 https://t.co/prD20AToxt,9
"even after so much of torture and harassment , I have not received my money yet ..#worstcompany",6
what moron thinks that a bin is an adequate delivery place especially as there was someone home all day? #notacceptable https://t.co/78D3VN525f,2
what kind of service.no cash back &amp; reply from last 1 yr.submitted all proof documents but still Amazon does not bother to reply.,0
Amazon Prime videos pricing revised to Rs.999 per year @119625 @115850 can I opt only for prime delivery and not primevideo in future?,8
"Yo @115830, either you missed me or you didn’t. I have a card and a delivery and nothing in the safe place written on the card. I’m assuming the card is erroneous and no deliveries have been nicked from my safe place!",2
@115821 Amazon logistics lost my package and CSR told me that hopefully it will be delivered within the next 2 days and the email states no further response will be provided with this order. WTF way to care for a prime member,7
why can’t I cancel a package that was supposed to be here Sunday and I still haven’t received it?,4
", This is why I love you. https://t.co/PHfgVM97CR",5
Didn't receive prime subscription with #echodot order id 405-6016617-8745100 :( @AmazonHelp @115850,8
"explain plz I ordered two days ago w one day shipping, haven’t gotten any email confirmations and it’s showing this?? https://t.co/VjO9W5wL3V",4
